school,fall_year,spring_year,academic_year,race,completed_bachelors
Stanford,2023,2024,2023-24,US Nonresident,165
Stanford,2023,2024,2023-24,Hispanic/Latinx,263
Stanford,2023,2024,2023-24,Amer Ind or AK Native,12
Stanford,2023,2024,2023-24,Asian,338
Stanford,2023,2024,2023-24,Black or Af Amer,92
Stanford,2023,2024,2023-24,Nat HA or Other Pac Isl,4
Stanford,2023,2024,2023-24,White,504
Stanford,2023,2024,2023-24,Two or More,164
Stanford,2023,2024,2023-24,Unknown,4
Stanford,2022,2023,2022-23,US Nonresident,171
Stanford,2022,2023,2022-23,Hispanic/Latinx,252
Stanford,2022,2023,2022-23,Amer Ind or AK Native,14
Stanford,2022,2023,2022-23,Asian,361
Stanford,2022,2023,2022-23,Black or Af Amer,99
Stanford,2022,2023,2022-23,Nat HA or Other Pac Isl,7
Stanford,2022,2023,2022-23,White,492
Stanford,2022,2023,2022-23,Two or More,161
Stanford,2022,2023,2022-23,Unknown,10
Stanford,2021,2022,2021-22,US Nonresident,151
Stanford,2021,2022,2021-22,Hispanic/Latinx,212
Stanford,2021,2022,2021-22,Amer Ind or AK Native,12
Stanford,2021,2022,2021-22,Asian,330
Stanford,2021,2022,2021-22,Black or Af Amer,101
Stanford,2021,2022,2021-22,Nat HA or Other Pac Isl,3
Stanford,2021,2022,2021-22,White,485
Stanford,2021,2022,2021-22,Two or More,120
Stanford,2021,2022,2021-22,Unknown,7
Stanford,2020,2021,2020-21,US Nonresident,162
Stanford,2020,2021,2020-21,Hispanic/Latinx,275
Stanford,2020,2021,2020-21,Amer Ind or AK Native,5
Stanford,2020,2021,2020-21,Asian,373
Stanford,2020,2021,2020-21,Black or Af Amer,114
Stanford,2020,2021,2020-21,Nat HA or Other Pac Isl,2
Stanford,2020,2021,2020-21,White,591
Stanford,2020,2021,2020-21,Two or More,143
Stanford,2020,2021,2020-21,Unknown,10
Stanford,2019,2020,2019-20,US Nonresident,167
Stanford,2019,2020,2019-20,Hispanic/Latinx,264
Stanford,2019,2020,2019-20,Amer Ind or AK Native,14
Stanford,2019,2020,2019-20,Asian,381
Stanford,2019,2020,2019-20,Black or Af Amer,97
Stanford,2019,2020,2019-20,Nat HA or Other Pac Isl,7
Stanford,2019,2020,2019-20,White,652
Stanford,2019,2020,2019-20,Two or More,197
Stanford,2019,2020,2019-20,Unknown,6
Stanford,2018,2019,2018-19,US Nonresident,122
Stanford,2018,2019,2018-19,Hispanic/Latinx,272
Stanford,2018,2019,2018-19,Amer Ind or AK Native,22
Stanford,2018,2019,2018-19,Asian,344
Stanford,2018,2019,2018-19,Black or Af Amer,106
Stanford,2018,2019,2018-19,Nat HA or Other Pac Isl,6
Stanford,2018,2019,2018-19,White,622
Stanford,2018,2019,2018-19,Two or More,176
Stanford,2018,2019,2018-19,Unknown,5
Stanford,2017,2018,2017-18,US Nonresident,140
Stanford,2017,2018,2017-18,Hispanic/Latinx,252
Stanford,2017,2018,2017-18,Amer Ind or AK Native,19
Stanford,2017,2018,2017-18,Asian,300
Stanford,2017,2018,2017-18,Black or Af Amer,89
Stanford,2017,2018,2017-18,Nat HA or Other Pac Isl,5
Stanford,2017,2018,2017-18,White,595
Stanford,2017,2018,2017-18,Two or More,157
Stanford,2017,2018,2017-18,Unknown,9
Stanford,2016,2017,2016-17,US Nonresident,127
Stanford,2016,2017,2016-17,Hispanic/Latinx,242
